,词坠
0,E.常用后缀
1,"-ability 表名词,能……,性质"
2,"-able 表形容词,可……的,能……"
3,"-ably 表副词,能……地"
4,"-aceous 表形容词,具有……特征的"
5,"-acious 表形容词,有……特征的,多……的"
6,"-acity 表名词,有……倾向"
7,"-acle 表名词,……物品,状态"
8,"-acy 表名词,……性质,状态"
9,"-ad 表名词,……东西,状态"
10,"-ade表名词(1)表示状态,物品(2)表示个人或集体"
11,"-age (1)名词后缀,表示状态,总称(2)表示场所,物品(3)表示费用"
12,"-ain 表名词,……人"
13,"-aire 表名词,……人"
14,"-al (1)表形容词,……的(2)表名词,人、物或状态"
15,"-ality 表名词,状态、性质"
16,"-ally 表副词,由 al + ly 构成,……地"
17,"-an 表名词或形容词,……地方,……人"
18,"-ance 表名词,性质、状况"
19,"–ancy = -ance,表示性质,状况"
20,"-aneity,来自-aneous,表名词,表示性质、状态"
21,"-aneous 表形容词,表示有……特征的"
22,"-ant (1)表形容词, ……的(2)表名词,……人(3)表名词,……剂"
23,"-ar (1)表形容词,……的(2)表名词,人或物"
24,"-ard 表名词,人(有贬义或轻蔑义) "
25,"-arian 表形容词或名词,……的(人) "
26,"-arium 表名词,地点、场所"
27,"-ary (1)表形容词,……的(2)表名词,人、场所或物"
28,"-ast 表名词,……人或物"
29,"-aster 表名词,不怎么样的人"
30,"-ate (1)表动词,做、造成(2)表形容词,具有……的(3)表名词,人或地位"
31,"-atic 表形容词,有……性质的"
32,"-ation 表名词,行为、过程或结果"
33,"-ative表形容词,有……倾向(性质)的"
34,"-ator 表名词,通常由-ate结尾的动词而来,表示做事的人或物"
35,"-atory 高 频 词 根 词 缀607 608 (1)表形容词,有……性质的(2)表名词,场所、地点"
36,"-cy 表名词,也作-acy,表性质、状态"
37,"-ette 表名词,小的东西或状态"
38,"-ety 表名词,状态"
39,"-faction 表名词,达到的状态,由-fy转化而来"
40,"-fold表形容词或副词,倍、双重"
41,"-form 表形容词,有……形状的"
42,"-ful (1)表形容词,有……的(2)表名词,满、量"
43,"-hood 表名词,时期、性质等"
44,"-ia (1)表名词,某种病(2)表名词,总称,状态"
45,"-ial 表形容词,有……的"
46,"-ian (1)表名词,某种人(2)表形容词,……国家的"
47,"-ibility 表名词,具备……性质的"
48,-ible 形容词能……的
49,"-ic (1)表形容词,……的(2)表名词,人或学科(3)表名词,某种病"
50,"-ical 表形容词,……的"
51,"-ice 表名词,行为、状态"
52,"-ics 表名词,学科、学术来"
53,"-id 表形容词,如……的"
54,"-ie 表名词,小东西或人"
55,"-ier 表名词,人或物"
56,"-ific 表形容词,产生……的"
57,"-ification 表名词,由-ific变化而来"
58,"-fier 表名词,人或物,由-ify转化而"
59,"-ile (1)表形容词,……的(2)表名词,物体"
60,"-ine (1)表形容词,……的(2)表名词,人或女人(3)表名词,状态、药物等"
61,"-ing (1)表名词,状态(2)表名词,行业(3)表形容词,正……的,令人……的"
62,"-ion (1)表名词,动作或状态 (2)表名词,物品、状态"
63,"-ish (1)表形容词,像……一样,有……的,通常放在一具体名词后(2)表动词,造成……(3)表示国家的或语言"
64,"-ism 名词(1)表示各种主义,宗教(2)表示学术或学术流派(3)表示行为,现象、状态(4)表示疾病(5)表示具备某种牲质"
65,"-ist 表名词,表示信仰者、专家或从事某活动的人"
66,"-istic 表形容词,由-ist + ic 构成,表示……的"
67,"-it (1)表名词,通常是抽象名词(2)表名词,……的"
68,"-ite 高 频 词 根 词 缀609 610 (1)表形容词,……的"
69,"-iteon 表名词,行为过程、状态"
70,"-itious 表形容词,由-ition变化而来,表示……的"
71,"-itive 表形容词,……的"
72,"-itor 表名词,人"
73,"-itude 表名词,性质、状态等"
74,"-ity表名词,指具备某种性质"
75,"–ive (1)表形容词,根据不同的单词结尾可分-sive, -ative, ive, itive 注:-itive 见第88条(1)表名词后缀,人或物"
76,"-ivity 表名词,由-ive + ity 组成,有……能力或特性"
77,"-ization 表名词,来自-ize + ation,……化或发展过程"
78,"-kin 表名词,小……"
79,"-less 表形容词,无……的,不……的"
80,"-like 表形容词,像……一样"
81,"-ling 表名词,小东西或某种人"
82,"-ly (1)表形容词,通常加在名词后(2)表副词,通常放在形容词后"
83,"-ment (1)表名词,行为或结果(2)表示具体事物"
84,"-ness 表名词,性质或状态,通常加在形容词后"
85,"-o (1)表名词,人、物或状态(2)表名词,用于音乐术语"
86,"-on 表名词,指人、物和一些物理学上的名词"
87,"-oon 表名词,人或物"
88,"-or 表名词,人或物器,在一些词根前写成-ator "
89,"-ory (1)表形容词,……的(2)表名词,指场所等"
90,"-ose 表形容词,多……的"
91,"-osity 表名词,ose + ity组成,表示多……的状态"
92,"-ot 表名词,……人"
93,"-ous 表形容词,通常放在完整的单词之后,表示……的"
94,"-proof 表形容词,防……的"
95,"-ress (1)表名词,指女性(2)表名词,指物品"
96,"-ry 表名词,通常放在完整的单词之后(1)表示状态、性质(2)表示行业、学科(3)表示集合名词(4)表示场地"
97,-ship (1)表示某种关系或状态(2)表示某种技能
98,"-some 表形容词,充满……的,具有……倾向的"
99,"-ster 表名词,……人"
100,"-th 表名词,通常指抽象名词"
101,"-tic 表形容词,通常放在名词前,与……相关的,……的"
102,"-ture 表名词,通常在单词或词根以t 结尾时使用,表示一般状态、行为,如-ature,-iture "
103,"-ular 表形容词,有……形状或性质的"
104,"-ule 表名词,小……"
105,"-uous 表形容词,多……的("
106,"-ward 表形容词或副词,向……注:ward可变成wards,但只能作副词用"
107,"-wise 表副词,方向,状态注:有些单词中wise 可以换成ways,意义不变,如:crossways,ad. 交叉地"
108,"-y(1)名词,加在形容词或以r结尾的单词后(2)名词,人或小东西,常带有戏谑性和爱称"
